#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
1,2/3/2020,326837,1158,859,592,0,0,325,2,9,0.0,2,325
2,3/3/2020,326460,1239,1030,717,0,0,377,1,9,0.0,3,702
3,4/3/2020,325956,1452,1175,863,0,0,505,7,16,0.0,10,1207
4,5/3/2020,325363,1733,1341,1009,0,0,593,8,24,0.0,18,1800
5,6/3/2020,324781,1964,1517,1184,0,0,582,7,30,0.0,25,2382
6,7/3/2020,324105,2237,1711,1393,0,0,676,5,34,0.0,30,3058
7,8/3/2020,323315,2520,1964,1647,0,0,790,6,40,0.0,36,3848
8,9/3/2020,322376,2864,2283,1923,0,0,939,9,48,0.0,45,4787
9,10/3/2020,321303,3311,2611,2221,0,0,1073,10,56,0.0,55,5860
10,11/3/2020,320141,3767,2944,2594,0,0,1162,10,65,0.0,65,7022
11,12/3/2020,318895,4182,3357,3011,1,0,1246,10,71,0.0,75,8268
12,13/3/2020,317739,4454,3786,3464,3,0,1156,11,77,0.0,86,9424
13,14/3/2020,316472,4701,4255,4014,4,0,1267,16,91,0.0,102,10691
14,15/3/2020,314936,5145,4779,4582,4,0,1536,18,108,0.0,120,12227
15,16/3/2020,313351,5524,5246,5321,4,0,1585,9,115,0.0,129,13812
16,17/3/2020,312292,5269,5767,6113,5,0,1059,21,130,0.0,150,14871
17,18/3/2020,311141,5107,6217,6975,6,0,1151,21,145,0.0,171,16022
18,19/3/2020,309897,5031,6571,7941,6,0,1244,28,168,0.0,199,17266
19,20/3/2020,308625,4992,6875,8943,11,0,1273,28,181,0.0,227,18539
20,21/3/2020,307851,4490,7084,10009,12,0,774,36,211,0.0,263,19313
21,22/3/2020,307078,4043,7146,11165,14,0,773,45,246,0.0,308,20086
22,23/3/2020,306312,3691,6961,12467,15,0,767,52,290,0.0,360,20853
23,24/3/2020,306017,2955,6768,13691,15,0,295,48,325,0.0,408,21148
24,25/3/2020,305785,2319,6446,14880,16,0,232,40,348,0.0,448,21380
25,26/3/2020,305551,1801,5991,16081,22,0,235,45,371,0.0,493,21615
26,27/3/2020,305337,1437,5430,17218,24,0,214,55,414,0.0,548,21829
27,28/3/2020,305146,1165,4815,18292,28,0,191,60,458,0.0,608,22020
28,29/3/2020,304983,931,4210,19287,35,0,164,39,476,0.0,647,22184
29,30/3/2020,304855,777,3565,20207,42,0,128,59,501,0.0,706,22312
30,31/3/2020,304744,656,3049,20948,49,0,111,51,524,0.0,757,22423
31,1/4/2020,304675,539,2624,21554,54,0,69,52,546,0.0,809,22492
32,2/4/2020,304596,453,2229,22106,62,0,79,45,549,0.0,854,22571
33,3/4/2020,304525,401,1935,22513,72,0,71,40,556,0.0,894,22642
34,4/4/2020,304469,342,1677,22878,80,0,56,34,547,0.0,928,22698
35,5/4/2020,304426,288,1486,23162,84,0,44,40,551,0.0,968,22742
36,6/4/2020,304384,248,1314,23407,93,0,43,34,540,0.0,1002,22785
37,7/4/2020,304346,205,1161,23632,102,0,38,15,510,0.0,1017,22823
38,8/4/2020,304314,181,1036,23802,113,0,32,23,491,0.0,1040,22855
39,9/4/2020,304293,149,917,23960,127,0,21,14,448,0.0,1054,22876
40,10/4/2020,304274,135,789,24111,137,0,19,15,406,0.0,1069,22895
41,11/4/2020,304254,107,727,24211,147,0,20,14,380,0.0,1083,22915
42,12/4/2020,304238,87,629,24337,155,0,16,10,345,0.0,1093,22931
43,13/4/2020,304221,81,540,24443,161,0,17,6,305,0.0,1099,22948
44,14/4/2020,304209,72,463,24532,170,0,12,6,266,0.0,1105,22960
45,15/4/2020,304195,66,403,24605,177,0,14,2,233,0.0,1107,22974
46,16/4/2020,304186,56,351,24669,184,0,9,2,203,0.0,1109,22983
