#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
1,2/3/2020,329568,238,356,507,0,0,28,2,14,0.0,2,28
2,3/3/2020,329514,216,375,564,0,0,54,1,12,0.0,3,82
3,4/3/2020,329463,215,369,622,0,0,51,5,16,0.0,8,133
4,5/3/2020,329411,209,374,675,0,0,52,3,19,0.0,11,185
5,6/3/2020,329365,199,366,736,3,0,46,3,19,0.0,14,231
6,7/3/2020,329326,188,352,799,4,0,39,4,19,0.0,18,270
7,8/3/2020,329304,166,340,855,4,0,22,4,22,0.0,22,292
8,9/3/2020,329276,160,316,913,4,0,28,3,24,0.0,25,320
9,10/3/2020,329242,135,306,981,5,0,34,4,26,0.0,29,354
10,11/3/2020,329210,128,292,1032,7,0,32,3,24,0.0,32,386
11,12/3/2020,329184,129,272,1076,8,0,26,3,24,0.0,35,412
12,13/3/2020,329155,118,270,1117,9,0,29,5,24,0.0,40,441
13,14/3/2020,329135,105,248,1172,9,0,20,5,28,0.0,45,461
14,15/3/2020,329108,108,226,1217,10,0,27,7,30,0.0,52,488
15,16/3/2020,329085,98,220,1256,10,0,23,3,33,0.0,55,511
16,17/3/2020,329063,90,211,1293,12,0,22,7,36,0.0,62,533
17,18/3/2020,329031,100,200,1326,12,0,32,0,33,0.0,62,565
18,19/3/2020,329018,88,190,1360,13,0,13,5,35,0.0,67,578
19,20/3/2020,329010,77,181,1388,13,0,8,0,32,0.0,67,586
20,21/3/2020,328998,68,174,1415,14,0,12,1,29,0.0,68,598
21,22/3/2020,328987,54,168,1443,17,0,11,1,25,0.0,69,609
22,23/3/2020,328977,42,160,1473,17,0,10,4,24,0.0,73,619
23,24/3/2020,328973,38,140,1500,18,0,4,1,21,0.0,74,623
24,25/3/2020,328968,33,123,1525,20,0,5,1,19,0.0,75,628
25,26/3/2020,328966,25,110,1546,22,0,2,1,17,0.0,76,630
26,27/3/2020,328965,16,94,1570,24,0,1,1,15,0.0,77,631
27,28/3/2020,328963,14,82,1586,24,0,2,1,15,0.0,78,633
28,29/3/2020,328963,8,70,1604,24,0,0,1,12,0.0,79,633
29,30/3/2020,328962,4,57,1621,25,0,1,0,9,0.0,79,634
30,31/3/2020,328961,4,45,1633,26,0,1,1,9,0.0,80,635
31,1/4/2020,328960,3,40,1640,26,0,1,2,10,0.0,82,636
32,2/4/2020,328960,2,35,1645,27,0,0,2,11,0.0,84,636
33,3/4/2020,328960,2,29,1650,28,0,0,1,10,0.0,85,636
34,4/4/2020,328958,3,27,1653,28,0,2,0,9,0.0,85,638
35,5/4/2020,328958,3,19,1661,28,0,0,1,9,0.0,86,638
36,6/4/2020,328958,2,12,1669,28,0,0,1,8,0.0,87,638
37,7/4/2020,328956,2,12,1671,28,0,2,0,7,0.0,87,640
38,8/4/2020,328956,2,11,1672,28,0,0,0,6,0.0,87,640
39,9/4/2020,328956,2,8,1675,28,0,0,0,4,0.0,87,640
40,10/4/2020,328956,2,7,1676,28,0,0,0,4,0.0,87,640
41,11/4/2020,328956,0,9,1676,28,0,0,0,4,0.0,87,640
42,12/4/2020,328956,0,6,1677,30,0,0,1,3,0.0,88,640
43,13/4/2020,328955,1,5,1678,30,0,1,0,2,0.0,88,641
44,14/4/2020,328955,1,4,1678,31,0,0,0,1,0.0,88,641
45,15/4/2020,328955,1,4,1678,31,0,0,0,1,0.0,88,641
46,16/4/2020,328954,2,1,1680,32,0,1,0,0,0.0,88,642
47,17/4/2020,328954,2,0,1681,32,0,0,0,0,0.0,88,642
48,18/4/2020,328953,3,0,1681,32,0,1,0,0,0.0,88,643
49,19/4/2020,328952,4,0,1681,32,0,1,0,0,0.0,88,644
50,20/4/2020,328949,5,2,1681,32,0,3,0,0,0.0,88,647
