#time,x,y,location_type,rank,incubation_time
-20,-0.3008965735475134,51.5449692261926,house,0,7
-20,-0.28709419199687886,51.560932526342235,house,0,7
-20,-0.2181501862911691,51.54257300806521,house,0,4
-20,-0.24686908878855296,51.55303417438717,house,0,6
-20,-0.2817506982545051,51.55089731018988,house,0,3
-20,-0.3051288329171491,51.57502360787818,house,0,3
-20,-0.3094012625104876,51.58088873480657,house,0,1
-20,-0.2834375664375864,51.53352832695987,house,0,7
-20,-0.3280011770509423,51.554064784321646,house,0,1
-20,-0.24165302104016534,51.552932076392246,house,0,2
-20,-0.3004793102903237,51.55158869508523,house,0,5
-20,-0.28795751396141356,51.55961963052299,house,0,3
-20,-0.22312300497110485,51.544477051596765,house,0,3
-20,-0.20686406716957897,51.55138644351819,house,0,3
-20,-0.2554861898280621,51.56436563290534,house,0,8
-20,-0.2771829675900449,51.59642003109734,house,0,3
-20,-0.19175974986981886,51.53872643294877,house,0,2
-20,-0.29151709799356695,51.53796995627672,house,0,3
-20,-0.30253514845085977,51.569689916502476,house,0,4
-20,-0.2636864415282746,51.57618489332738,house,0,3
-20,-0.2562509890025993,51.56461718767811,house,0,3
-20,-0.28900198858484305,51.59662349431161,house,0,5
-20,-0.329349648209317,51.55505297528011,house,0,1
-20,-0.22616363925833805,51.55491496845281,house,0,8
-20,-0.28273087960279286,51.59696574404822,house,0,8
-19,-0.3091835469966654,51.567096511073906,house,0,2
-19,-0.22400648275440432,51.53407237699747,house,0,5
-19,-0.3046098455938635,51.55959282447622,house,0,1
-19,-0.1922635653746173,51.535780571352724,house,0,4
-19,-0.2813812805095664,51.569294934742906,house,0,3
-19,-0.2285955805436606,51.54445190896873,house,0,4
-19,-0.2642159543334527,51.587647270814074,house,0,2
-19,-0.2875661990105139,51.57259958770554,house,0,4
-19,-0.2792995228912661,51.59219772124248,house,0,3
-19,-0.2879949717755491,51.52722408286747,house,0,6
-19,-0.2575051712403712,51.57757555767622,house,0,7
-19,-0.2187210912445737,51.550821660460485,house,0,4
-19,-0.2815870151205844,51.56788762436902,house,0,4
-19,-0.22983687122725774,51.543564647860535,house,0,3
-19,-0.3262167878373969,51.58082461960247,house,0,4
-19,-0.3029463854261432,51.55251310321749,house,0,1
-19,-0.27791274637380525,51.592370341392,house,0,4
-19,-0.26473783150716235,51.57713381691778,house,0,5
-19,-0.2865261047952234,51.526685721045,house,0,5
-19,-0.2895851122343527,51.55902718683801,house,0,3
-19,-0.29295383807061,51.575591381286394,house,0,3
-19,-0.2704154283405612,51.60054351540237,house,0,2
-19,-0.3048619443729187,51.56017792150214,house,0,4
-19,-0.26292234710597295,51.59145210571891,house,0,6
-19,-0.21725414153568598,51.54626244340077,house,0,6
-19,-0.3094012625104876,51.58088873480657,house,0,7
-19,-0.3094012625104876,51.58088873480657,house,0,8
-18,-0.25521184869046726,51.58804074393221,house,0,7
-18,-0.2622979954604201,51.591069578143404,house,0,4
-18,-0.2911016923230401,51.5801898360584,house,0,3
-18,-0.2499504825007141,51.56437587391869,house,0,5
-18,-0.28036235606424326,51.59173749528496,house,0,3
-18,-0.3251546809572025,51.559673555636806,house,0,1
-18,-0.2358044724118915,51.53042797363966,house,0,7
-18,-0.30328767971743653,51.57156442935864,house,0,2
-18,-0.3179524093065445,51.56200295963393,house,0,7
-18,-0.3097291493921659,51.58755717461691,house,0,3
-18,-0.2861273888197732,51.57013607655936,house,0,4
-18,-0.23717239419582456,51.56525579190264,house,0,3
-18,-0.20665329863378418,51.53192225576838,house,0,1
-18,-0.23436495101247434,51.55002187694803,house,0,7
-18,-0.2592034477831673,51.58807660742361,house,0,1
-18,-0.26333829461955605,51.54216023025171,house,0,6
-18,-0.2964833159987287,51.560945231039085,house,0,6
-18,-0.2604730394597372,51.58669883562204,house,0,6
-18,-0.20485451381045564,51.54520572091433,house,0,4
-18,-0.28920116227378023,51.54539863056857,house,0,2
-18,-0.2669178446434486,51.57607408694856,house,0,6
-18,-0.26176054689116196,51.59706144087955,house,0,3
-18,-0.25490074596177326,51.585882518168965,house,0,6
-18,-0.19507581921193745,51.52579057476384,house,0,3
-18,-0.28573686540341364,51.597397969890245,house,0,2
-18,-0.3046098455938635,51.55959282447622,house,0,3
-18,-0.24165302104016534,51.552932076392246,house,0,4
-18,-0.3280011770509423,51.554064784321646,house,0,4
-18,-0.3280011770509423,51.554064784321646,house,0,5
-18,-0.329349648209317,51.55505297528011,house,0,9
-17,-0.286859202402396,51.58096903643411,house,0,4
-17,-0.2119156895914608,51.52949458024777,house,0,5
-17,-0.28831783562037455,51.58470169237986,house,0,3
-17,-0.29537631497753847,51.54659342221225,house,0,5
-17,-0.30459826619195074,51.56871798300173,house,0,6
-17,-0.26479270541477784,51.54725576783049,house,0,3
-17,-0.2276862348615841,51.54327371153227,house,0,4
-17,-0.2326546608888695,51.56042820134117,house,0,6
-17,-0.23920555923057915,51.552488369783696,house,0,4
-17,-0.2921665412310763,51.55058433330809,house,0,2
-17,-0.25404670223616826,51.54038042111709,house,0,4
-17,-0.33394526385910306,51.552975317752086,house,0,2
