park,hospital,supermarket,office,school,leisure,shopping
12,1,21,520,78,27,20
12,1,3,279,78,27,20
12,1,3,430,78,27,23
12,1,3,171,78,27,3
12,1,20,65,78,27,20
12,1,3,209,78,27,23
12,1,3,215,78,27,23
12,1,3,194,78,27,3
12,1,3,220,78,27,20
12,1,3,349,78,27,20
12,1,3,34,78,27,20
12,1,3,171,78,27,20
12,1,3,460,78,27,23
12,1,21,178,78,27,20
12,1,3,147,78,27,23
12,1,0,152,78,27,20
12,1,3,187,78,27,23
12,1,3,87,78,27,20
12,1,3,59,78,27,3
12,1,3,47,78,27,20
12,1,0,118,78,27,20
12,1,0,393,78,27,20
12,1,3,34,78,27,23
12,1,3,92,78,27,23
12,1,3,140,78,27,20
12,1,3,287,78,27,23
12,1,21,244,78,27,3
12,1,3,386,78,27,20
12,1,21,135,78,27,3
12,1,3,101,78,27,23
12,1,3,3,78,27,23
12,1,3,124,78,27,23
12,1,3,329,78,27,20
12,1,3,426,78,27,20
12,1,3,465,78,27,23
12,1,3,167,78,27,20
12,1,3,182,78,27,20
12,1,20,439,78,27,20
12,1,3,478,78,27,23
12,1,3,88,78,27,20
12,1,21,183,78,27,20
12,1,3,241,78,27,20
12,1,3,306,78,27,23
12,1,3,114,78,27,20
12,1,3,281,78,27,23
12,1,3,306,78,27,20
12,1,3,515,78,27,23
12,1,3,90,78,27,23
12,1,3,290,78,27,20
12,1,3,8,78,27,23
12,1,0,75,78,27,20
12,1,3,488,78,27,23
12,1,3,126,78,27,20
12,1,3,484,78,27,23
12,1,3,226,78,27,3
12,1,21,451,78,27,20
12,1,3,341,78,27,23
12,1,0,207,78,27,20
12,1,3,275,78,27,23
12,1,0,42,78,27,20
12,1,20,444,78,27,20
12,1,3,329,78,27,20
12,1,20,287,78,27,20
12,1,3,130,78,27,23
12,1,3,413,78,27,23
12,1,0,429,78,27,20
12,1,3,107,78,27,23
12,1,3,8,78,27,23
12,1,3,186,78,27,20
12,1,3,212,78,27,23
12,1,3,109,78,27,20
12,1,0,250,78,27,20
12,1,3,376,78,27,23
12,1,3,215,78,27,20
12,1,3,279,78,27,23
12,1,21,414,78,27,20
12,1,3,304,78,27,20
12,1,3,388,78,27,20
12,1,3,97,78,27,20
12,1,3,164,78,27,23
12,1,3,203,78,27,20
12,1,3,168,78,27,20
12,1,3,370,78,27,20
12,1,21,77,78,27,3
12,1,3,453,78,27,23
12,1,3,439,78,27,20
12,1,3,36,78,27,23
12,1,21,192,78,27,3
12,1,21,125,78,27,3
12,1,21,216,78,27,3
12,1,21,472,78,27,3
12,1,3,279,78,27,23
12,1,3,297,78,27,23
12,1,3,22,78,27,20
12,1,21,422,78,27,3
12,1,21,142,78,27,3
12,1,3,442,78,27,23
12,1,20,256,78,27,20
12,1,3,501,78,27,23
12,1,3,344,78,27,23
12,1,20,57,78,27,20
12,1,3,229,78,27,23
12,1,3,380,78,27,23
12,1,20,366,78,27,20
12,1,3,295,78,27,23
12,1,3,415,78,27,23
12,1,0,86,78,27,20
12,1,3,114,78,27,23
12,1,3,175,78,27,23
12,1,3,340,78,27,20
12,1,21,369,78,27,20
12,1,3,131,78,27,23
12,1,3,207,78,27,20
12,1,3,225,78,27,20
12,1,21,218,78,27,3
12,1,3,8,78,27,3
12,1,3,66,78,27,20
12,1,3,401,78,27,20
12,1,0,503,78,27,20
12,1,20,294,78,27,20
12,1,3,348,78,27,23
12,1,21,25,78,27,3
12,1,3,485,78,27,3
12,1,20,348,78,27,20
12,1,3,123,78,27,20
12,1,3,214,78,27,23
12,1,3,118,78,27,23
12,1,3,388,78,27,20
12,1,21,403,78,27,3
12,1,21,434,78,27,20
12,1,21,154,78,27,20
12,1,3,310,78,27,23
12,1,3,504,78,27,20
12,1,3,319,78,27,23
12,1,3,75,78,27,20
12,1,3,335,78,27,23
12,1,21,465,78,27,20
12,1,3,493,78,27,3
12,1,3,336,78,27,20
12,1,3,238,78,27,23
12,1,20,93,78,27,20
12,1,3,197,78,27,23
12,1,3,390,78,27,20
12,1,3,408,78,27,23
12,1,3,144,78,27,23
12,1,20,430,78,27,20
12,1,20,305,78,27,20
12,1,3,81,78,27,20
12,1,3,258,78,27,23
12,1,3,91,78,27,23
12,1,3,145,78,27,20
12,1,3,116,78,27,20
12,1,3,513,78,27,20
12,1,3,2,78,27,23
12,1,3,3,78,27,23
12,1,3,151,78,27,20
12,1,3,191,78,27,20
12,1,3,415,78,27,23
12,1,20,157,78,27,20
12,1,21,473,78,27,20
12,1,21,411,78,27,20
12,1,3,357,78,27,23
12,1,3,283,78,27,23
12,1,3,504,78,27,23
12,1,3,112,78,27,23
12,1,3,217,78,27,20
12,1,3,76,78,27,23
12,1,20,281,78,27,20
12,1,21,162,78,27,3
12,1,3,138,78,27,20
12,1,3,218,78,27,23
12,1,20,468,78,27,20
12,1,3,502,78,27,20
12,1,20,35,78,27,20
12,1,3,245,78,27,23
12,1,3,417,78,27,23
12,1,3,81,78,27,3
12,1,3,113,78,27,20
12,1,3,28,78,27,20
12,1,3,270,78,27,23
12,1,21,445,78,27,3
12,1,3,166,78,27,23
12,1,3,312,78,27,20
12,1,3,396,78,27,3
12,1,3,128,78,27,20
12,1,0,253,78,27,20
12,1,0,191,78,1,36
12,1,3,123,78,27,20
12,1,3,440,78,27,3
12,1,3,10,78,27,20
12,1,3,135,78,27,23
12,1,3,112,78,27,23
12,1,21,96,78,27,20
12,1,3,479,78,27,20
12,1,3,254,78,27,23
12,1,3,170,78,27,20
12,1,0,501,78,27,20
12,1,0,107,78,27,20
12,1,3,474,78,27,20
12,1,3,446,78,27,20
12,1,20,255,78,27,20
12,1,3,144,78,27,20
12,1,3,121,78,27,20
12,1,3,58,78,27,23
12,1,3,351,78,27,23
12,1,0,132,78,1,36
12,1,21,243,78,27,20
12,1,3,471,78,27,23
12,1,0,259,78,1,20
12,1,3,358,78,27,23
12,1,3,1,78,27,23
12,1,3,254,78,27,20
12,1,20,361,78,27,20
12,1,21,273,78,27,3
12,1,3,442,78,27,20
12,1,3,289,78,27,20
12,1,3,275,78,27,20
12,1,3,1,78,27,23
12,1,3,22,78,27,23
0,1,18,484,37,164,59
0,1,18,362,74,13,0
0,1,18,180,74,13,0
0,1,18,419,37,13,59
0,1,18,394,74,164,0
0,1,18,371,74,13,0
0,1,18,319,74,13,0
0,1,18,211,74,13,0
0,1,18,111,74,13,0
0,1,18,136,74,13,0
0,1,18,480,74,13,0
0,1,18,77,37,164,59
0,1,18,293,74,13,59
0,1,18,241,37,164,11
0,1,18,251,74,13,0
0,1,18,58,74,13,0
0,1,18,148,74,13,0
0,1,18,319,74,13,0
0,1,18,136,74,13,0
0,1,18,285,74,13,0
0,1,18,108,74,13,0
0,1,18,448,37,164,11
0,1,18,220,74,13,0
0,1,18,283,74,13,59
0,1,18,408,74,13,0
0,1,18,488,74,13,0
0,1,18,134,74,13,0
0,1,18,458,74,13,59
0,1,18,238,74,13,59
0,1,18,479,37,164,59
0,1,18,80,37,164,59
0,1,18,292,74,164,0
0,1,18,319,37,164,59
0,1,18,384,74,164,0
0,1,18,264,74,13,0
0,1,18,489,74,13,0
0,1,18,76,37,164,0
