park,hospital,supermarket,office,school,leisure,shopping
1,2,3,326,41,5,3
1,2,3,226,41,5,3
1,2,3,142,41,5,3
1,2,3,133,41,40,3
1,2,3,80,41,15,3
1,2,3,373,41,15,3
1,2,3,16,41,15,3
1,2,3,339,41,5,3
1,2,3,227,41,15,3
1,2,3,314,41,15,3
1,2,3,62,41,15,3
19,2,3,109,41,15,3
1,2,3,396,41,15,3
1,2,3,226,41,5,3
1,2,3,378,41,15,3
1,2,3,315,41,40,3
1,2,3,88,41,15,3
1,2,3,56,41,40,3
1,2,3,356,41,5,3
1,2,3,222,41,15,3
1,2,3,193,41,5,3
1,2,3,242,41,15,3
1,2,3,342,41,5,3
1,2,3,122,41,15,3
1,2,3,321,41,15,3
1,2,3,209,41,15,3
1,2,3,394,41,40,3
1,2,3,261,41,5,3
1,2,3,46,41,40,3
1,2,3,90,41,15,3
1,2,3,404,41,5,3
1,2,3,308,41,15,3
1,2,3,161,41,15,3
1,2,3,53,41,15,3
1,2,3,171,41,5,3
1,2,3,220,41,15,3
1,2,3,292,41,15,3
1,2,3,124,41,14,3
1,2,3,167,41,5,3
1,2,3,31,41,15,3
1,2,3,254,41,15,3
1,2,3,186,41,15,3
1,2,3,300,41,15,3
1,2,3,226,41,5,3
1,2,3,370,41,15,3
1,2,3,61,41,15,3
1,2,3,214,41,15,3
1,2,3,22,41,5,3
1,2,3,281,41,15,3
1,2,3,139,41,15,3
1,2,3,323,41,40,3
1,2,3,140,41,15,3
1,2,3,391,41,15,3
1,2,3,169,41,15,3
1,2,3,121,41,5,3
1,2,3,88,41,40,3
1,2,3,365,41,15,3
1,2,3,2,41,15,3
1,2,3,13,41,15,3
1,2,3,107,41,15,3
1,2,3,60,41,15,3
1,2,3,180,41,15,3
1,2,3,16,41,15,3
1,2,3,90,41,40,3
1,2,3,355,41,15,3
1,2,3,331,41,15,3
1,2,3,357,41,5,3
1,2,3,157,41,15,3
1,2,3,161,41,15,3
1,2,3,361,41,40,3
1,2,3,21,41,15,3
1,2,3,143,41,5,3
1,2,3,239,41,15,3
1,2,3,259,41,40,3
1,2,3,192,41,15,3
1,2,3,86,41,5,3
1,2,3,157,41,15,3
1,2,3,106,41,15,3
1,2,3,75,41,15,3
1,2,3,229,41,5,3
1,2,3,60,41,15,3
1,2,3,291,41,15,3
1,2,3,220,41,15,3
1,2,3,137,41,15,3
1,2,3,199,41,40,3
1,2,3,151,41,15,3
1,2,3,188,41,15,3
1,2,3,264,41,15,3
1,2,3,17,41,15,3
1,2,3,6,41,15,3
1,2,3,199,41,15,3
1,2,3,2,41,15,3
1,2,3,333,41,15,3
1,2,3,355,41,5,3
1,2,3,189,41,15,3
1,2,3,401,41,40,3
1,2,3,124,41,5,3
1,2,3,316,41,40,3
1,2,3,234,41,15,3
1,2,3,228,41,15,3
1,2,3,117,41,15,3
1,2,3,326,41,15,3
1,2,3,195,41,15,3
1,2,3,270,41,15,3
1,2,3,246,41,15,3
1,2,3,292,41,15,3
1,2,3,0,41,15,3
1,2,3,327,41,5,3
1,2,3,111,41,15,3
1,2,3,378,41,40,3
1,2,3,180,41,5,3
1,2,3,405,41,40,3
1,2,3,236,41,15,3
1,2,3,93,41,15,3
1,2,3,87,41,15,3
1,2,3,90,41,15,3
1,2,3,88,41,15,3
1,2,3,330,41,15,3
1,2,3,30,41,15,3
1,2,3,40,41,5,3
1,2,3,281,41,15,3
1,2,3,230,41,15,3
1,2,3,259,41,5,3
1,2,3,176,41,15,3
1,2,3,54,41,15,3
1,2,3,102,41,15,3
1,2,3,84,41,15,3
1,2,3,39,41,15,3
1,2,3,376,41,40,3
1,2,3,144,41,15,3
1,2,3,160,41,15,3
1,2,3,345,41,5,3
1,2,3,53,41,15,3
1,2,3,12,41,15,3
1,2,3,316,41,15,3
1,2,3,290,41,15,3
1,2,3,55,41,15,3
1,2,3,307,41,5,3
1,2,3,28,41,15,3
1,2,3,404,41,15,3
1,2,3,246,41,15,3
1,2,3,379,41,5,3
1,2,3,308,41,15,3
1,2,3,314,41,15,3
1,2,3,149,41,40,3
1,2,3,160,41,15,3
1,2,3,104,41,15,3
1,2,3,10,41,5,3
1,2,3,311,41,15,3
1,2,3,352,41,15,3
1,2,3,290,41,15,3
1,2,3,41,41,15,3
1,2,3,184,41,15,3
1,2,3,224,41,5,3
