type,x,y,sqm
house,-2.7226092651887916,53.37676198066305,0
house,-2.721572264850525,53.372316565806955,0
house,-2.72242787299832,53.37734295664282,0
house,-2.719571051344453,53.37252157543741,0
house,-2.7229129307615287,53.37539437526944,0
house,-2.7230602615046946,53.376709363370175,0
house,-2.7192597572007364,53.37254027918774,0
house,-2.719667043890731,53.37566310123029,0
house,-2.7238349307747907,53.37663939996829,0
house,-2.7198819252332807,53.37236529974101,0
house,-2.7198847194343974,53.37740661928838,0
house,-2.720414979911017,53.37540596067136,0
house,-2.7230982193086333,53.376038391943425,0
house,-2.7224731114265825,53.37543794802707,0
house,-2.7205044065998227,53.371964561345806,0
house,-2.7186994927392836,53.37486451932989,0
house,-2.7184780151441936,53.37446073517975,0
house,-2.7214786695198856,53.37571930640549,0
house,-2.7215535675134648,53.37232232930639,0
house,-2.7224790995518102,53.37718291418883,0
house,-2.7221542694904195,53.374247183480314,0
house,-2.7239313203509354,53.37605077334123,0
house,-2.7206329627753743,53.37496694066944,0
house,-2.7223570276770594,53.3734056359829,0
house,-2.7199631338477417,53.373423609968164,0
house,-2.7218273326440516,53.37725927098585,0
house,-2.7228385230019048,53.377005130797656,0
house,-2.7220659381032712,53.37358602810607,0
house,-2.7193810798678064,53.37495775509213,0
house,-2.7231555714193956,53.37658105131541,0
house,-2.7236527035112035,53.37504241158844,0
house,-2.723261522892283,53.37441339131522,0
house,-2.722345077744509,53.375376180442615,0
house,-2.722466024068336,53.37375754166872,0
house,-2.723679847076465,53.37488840564156,0
house,-2.7222962981248466,53.37464334316732,0
house,-2.7211715333903994,53.37742686602742,0
house,-2.7202056991601653,53.374915602440375,0
house,-2.721908804639279,53.37664550968926,0
house,-2.7202992361105562,53.372844006195386,0
house,-2.721991048923521,53.375998832138436,0
house,-2.7223379233668172,53.3734382643077,0
house,-2.721657239158052,53.37569901757594,0
house,-2.7223218684509884,53.37601537954517,0
house,-2.721739223891417,53.37524905627738,0
house,-2.7228919127205433,53.37418454529697,0
house,-2.7204173361947976,53.37461803608152,0
house,-2.7194965551653465,53.3748350088721,0
house,-2.723331038765033,53.37493368908632,0
house,-2.721307531954539,53.376741286591795,0
house,-2.7199774549616342,53.375711801650446,0
house,-2.720970881410359,53.37264017467469,0
house,-2.7200639837626017,53.377134800008015,0
house,-2.7224364764966995,53.37270238160502,0
house,-2.7202594620234946,53.376402733730146,0
house,-2.7212129080128453,53.37290240150331,0
house,-2.7191745302782535,53.37304489260534,0
house,-2.720021094777627,53.37562016186906,0
house,-2.721621203560479,53.37638006826093,0
house,-2.7212762695928556,53.3739803838441,0
house,-2.720131200753297,53.37747540241774,0
